prover,job_name,job_size,proof_duration_millisec,verify_duration_millisec,proof_bytes
CpuSHA256,ecdsa_then_hashes,1,764894,3,275531
CpuPoseidon,ecdsa_then_hashes,1,1626468,62,275532
CpuSHA256,ecdsa_then_hashes,10,805532,3,275531
CpuPoseidon,ecdsa_then_hashes,10,1639854,62,275532
CpuSHA256,ecdsa_then_hashes,100,1217041,7,537802
CpuPoseidon,ecdsa_then_hashes,100,2467320,122,537804
CpuSHA256,ecdsa_then_hashes,1000,3633597,18,1364359
CpuPoseidon,ecdsa_then_hashes,1000,7384485,307,1364364
CpuSHA256,ecdsa_then_hashes,10000,28639332,137,9905448
CpuSHA256,iter_ecdsa,1,802460,3,275531
CpuPoseidon,iter_ecdsa,1,1646350,62,275532
CpuSHA256,iter_ecdsa,2,1611143,7,551050
CpuPoseidon,iter_ecdsa,2,3275087,124,551052
CpuSHA256,iter_ecdsa,3,2417698,11,826569
CpuPoseidon,iter_ecdsa,3,4922459,186,826572
CpuSHA256,iter_ecdsa,4,3221658,15,1102088
CpuPoseidon,iter_ecdsa,4,6563463,248,1102092
CpuSHA256,iter_sha2,1,48094,3,215307
CpuPoseidon,iter_sha2,1,100300,47,215308
CpuSHA256,iter_sha2,100,101572,3,238347
CpuPoseidon,iter_sha2,100,205653,51,238348
CpuSHA256,iter_sha2,200,203443,3,250059
CpuPoseidon,iter_sha2,200,411902,55,250060
CpuSHA256,iter_sha2,300,204117,3,250059
CpuPoseidon,iter_sha2,300,412153,55,250060
CpuSHA256,iter_sha2,400,409813,3,262283
CpuPoseidon,iter_sha2,400,825850,58,262284
CpuSHA256,iter_sha2,500,410490,3,262283
CpuPoseidon,iter_sha2,500,826912,58,262284
CpuSHA256,iter_sha2,600,411087,3,262283
CpuPoseidon,iter_sha2,600,827188,58,262284
CpuSHA256,iter_sha2,700,795783,3,275531
CpuPoseidon,iter_sha2,700,1631328,62,275532
CpuSHA256,iter_sha2,800,798381,3,275531
CpuPoseidon,iter_sha2,800,1630579,62,275532
CpuSHA256,iter_sha2,900,798144,5,275531
CpuPoseidon,iter_sha2,900,1632436,62,275532
CpuSHA256,iter_sha2,1000,799274,3,275531
CpuPoseidon,iter_sha2,1000,1632529,62,275532
CpuSHA256,iter_sha2_pure,1,48142,3,215307
CpuPoseidon,iter_sha2_pure,1,100186,47,215308
CpuSHA256,iter_sha2_pure,100,101437,3,238347
CpuPoseidon,iter_sha2_pure,100,205491,51,238348
CpuSHA256,iter_sha2_pure,200,203697,3,250059
CpuPoseidon,iter_sha2_pure,200,412052,55,250060
CpuSHA256,iter_sha2_pure,300,204020,3,250059
CpuPoseidon,iter_sha2_pure,300,412436,54,250060
CpuSHA256,iter_sha2_pure,400,410632,3,262283
CpuPoseidon,iter_sha2_pure,400,826691,58,262284
CpuSHA256,iter_sha2_pure,500,410827,3,262283
CpuPoseidon,iter_sha2_pure,500,827039,58,262284
CpuSHA256,iter_sha2_pure,600,411334,3,262283
CpuPoseidon,iter_sha2_pure,600,827622,58,262284
CpuSHA256,iter_sha2_pure,700,796602,3,275531
CpuPoseidon,iter_sha2_pure,700,1630838,62,275532
CpuSHA256,iter_sha2_pure,800,798992,3,275531
CpuPoseidon,iter_sha2_pure,800,1638891,61,275532
CpuSHA256,iter_sha2_pure,900,801830,3,275531
CpuPoseidon,iter_sha2_pure,900,1635481,62,275532
CpuSHA256,iter_sha2_pure,1000,802648,3,275531
CpuPoseidon,iter_sha2_pure,1000,1635099,62,275532
CpuSHA256,big_sha2,1024,102034,3,238347
CpuPoseidon,big_sha2,1024,206059,51,238348
CpuSHA256,big_sha2,2048,204987,3,250059
CpuPoseidon,big_sha2,2048,413012,55,250060
CpuSHA256,big_sha2,4096,412519,3,262283
CpuPoseidon,big_sha2,4096,828773,58,262284
CpuSHA256,big_sha2,8192,803881,3,275531
CpuPoseidon,big_sha2,8192,1635995,62,275532
CpuSHA256,fact,5,48356,3,215307
CpuPoseidon,fact,5,100533,47,215308
CpuSHA256,fact,10,48337,3,215307
CpuPoseidon,fact,10,100480,47,215308
CpuSHA256,fact,15,101279,3,238347
CpuPoseidon,fact,15,205688,51,238348
CpuSHA256,fact,20,801592,3,275531
CpuPoseidon,fact,20,1635475,62,275532
CpuSHA256,fact,25,4446905,22,1639878
CpuPoseidon,fact,25,9037079,369,1639884
CpuSHA256,bubble_sort,64,101615,3,238347
CpuPoseidon,bubble_sort,64,205610,51,238348
CpuSHA256,bubble_sort,128,204905,3,250059
CpuPoseidon,bubble_sort,128,413212,55,250060
CpuSHA256,bubble_sort,256,805470,3,275531
CpuPoseidon,bubble_sort,256,1635201,62,275532
CpuSHA256,bubble_sort,512,1615755,7,551050
